investor_id,performance,date
316,1.2448,2022-08-05
982,0.8124,2022-08-06
134,-0.067,2022-08-13
653,0.5482,2022-08-29
570,1.2972,2022-08-08
102,0.2492,2022-08-30
823,0.879,2022-08-05
589,0.0819,2022-08-17
795,0.2476,2022-08-31
345,0.7229,2022-08-04
163,-0.1897,2022-08-01
992,0.1931,2022-08-15
424,-0.1314,2022-08-31
214,0.6925,2022-08-21
1000,-0.195,2022-08-29
815,0.807,2022-08-17
115,0.755,2022-08-19
515,-0.4093,2022-08-17
392,1.0789,2022-08-23
514,-0.181,2022-08-30
823,-0.3736,2022-08-25
937,1.3657,2022-08-18
450,0.316,2022-08-16
778,-0.0897,2022-08-23
471,1.3031,2022-08-01
474,-0.4702,2022-08-04
277,-0.0989,2022-08-01
196,0.5421,2022-08-07
186,0.9142,2022-08-29
410,0.9315,2022-08-14
971,1.0314,2022-08-26
677,0.7384,2022-08-14
634,1.2123,2022-08-19
527,0.5394,2022-08-02
622,-0.3318,2022-08-24
294,0.163,2022-08-31
921,1.1804,2022-08-25
154,1.2682,2022-08-08
145,0.7799,2022-08-14
692,1.2423,2022-08-11
744,0.8909,2022-08-09
799,-0.4954,2022-08-29
894,-0.1655,2022-08-06
178,0.6426,2022-08-07
810,0.4599,2022-08-16
371,0.0324,2022-08-08
469,-0.3426,2022-08-10
246,0.4888,2022-08-11
243,1.1722,2022-08-30
339,0.2818,2022-08-05
670,0.363,2022-08-06
859,0.0471,2022-08-08
984,0.875,2022-08-12
982,1.2259,2022-08-16
614,1.0069,2022-08-27
795,1.0195,2022-08-29
607,-0.2031,2022-08-16
362,1.3374,2022-08-02
686,0.9157,2022-08-08
446,-0.0615,2022-08-08
474,1.4928,2022-08-20
799,-0.0632,2022-08-24
623,0.5575,2022-08-03
247,1.4524,2022-08-20
520,0.3688,2022-08-10
535,0.7509,2022-08-23
559,0.1715,2022-08-15
492,0.11,2022-08-31
864,1.1396,2022-08-15
174,-0.1655,2022-08-04
526,1.1511,2022-08-18
815,0.665,2022-08-15
158,1.0849,2022-08-27
223,0.2359,2022-08-21
216,0.2081,2022-08-21
194,-0.3856,2022-08-28
976,0.4192,2022-08-09
652,0.635,2022-08-29
207,1.0138,2022-08-29
891,0.1449,2022-08-17
488,1.3039,2022-08-12
497,0.9144,2022-08-10
567,0.9175,2022-08-09
557,0.8637,2022-08-17
335,1.0758,2022-08-11
652,0.1688,2022-08-06
322,0.3886,2022-08-09
810,-0.4288,2022-08-11
208,0.5725,2022-08-24
598,1.4245,2022-08-01
977,-0.3234,2022-08-08
953,-0.1005,2022-08-06
390,-0.0351,2022-08-22
844,0.11,2022-08-04
341,1.0304,2022-08-22
581,-0.2202,2022-08-31
312,-0.1327,2022-08-09
194,0.4633,2022-08-10
149,1.1051,2022-08-24
676,0.042,2022-08-24
577,1.1293,2022-08-13
343,0.8432,2022-08-25
851,1.3286,2022-08-21
571,-0.4193,2022-08-07
876,0.5959,2022-08-11
166,-0.3504,2022-08-24
283,0.9133,2022-08-13
359,0.1025,2022-08-06
453,0.8269,2022-08-07
869,0.0609,2022-08-19
935,0.5777,2022-08-17
240,0.8191,2022-08-02
249,0.5376,2022-08-03
1000,1.2979,2022-08-09
547,0.2624,2022-08-24
219,0.2502,2022-08-29
116,-0.1844,2022-08-15
642,0.0136,2022-08-15
857,0.0177,2022-08-04
884,0.217,2022-08-23
606,1.4666,2022-08-06
316,-0.2636,2022-08-13
923,0.3432,2022-08-24
574,0.9612,2022-08-26
898,-0.2213,2022-08-14
745,1.1747,2022-08-18
307,0.9025,2022-08-29
108,0.1368,2022-08-05
685,-0.3504,2022-08-08
458,0.4714,2022-08-09
709,0.1222,2022-08-18
758,0.638,2022-08-05
766,0.8957,2022-08-13
887,1.2631,2022-08-14
300,0.2722,2022-08-09
834,-0.2626,2022-08-23
150,0.0616,2022-08-17
944,1.1628,2022-08-11
126,0.8834,2022-08-24
808,1.4776,2022-08-29
304,1.2901,2022-08-28
922,0.4003,2022-08-13
850,0.0021,2022-09-01
517,-0.203,2022-08-03
904,1.4521,2022-08-20
349,0.2941,2022-08-12
849,0.7684,2022-08-07
263,0.8245,2022-08-30
424,0.107,2022-08-01
521,1.0937,2022-08-28
815,0.7366,2022-08-12
200,0.0668,2022-08-03
492,1.3534,2022-08-22
960,0.2668,2022-08-23
844,0.9941,2022-08-15
271,0.4188,2022-08-31
253,0.9557,2022-08-08
997,-0.4704,2022-08-17
801,0.8298,2022-08-30
673,-0.0722,2022-08-07
528,-0.3712,2022-08-29
902,0.3126,2022-08-02
744,0.3422,2022-08-16
321,1.2266,2022-08-31
488,1.0144,2022-08-29
539,0.6252,2022-08-26
386,0.9619,2022-08-17
275,0.9107,2022-08-07
462,-0.3988,2022-08-29
711,1.0492,2022-08-04
948,0.8966,2022-08-15
270,1.1563,2022-08-26
236,-0.1171,2022-08-06
823,0.5472,2022-08-09
598,-0.0895,2022-08-08
547,0.8007,2022-08-23
125,0.5208,2022-08-11
707,0.6017,2022-08-16
295,0.0182,2022-08-31
521,0.4348,2022-08-13
157,-0.3922,2022-08-24
624,0.3114,2022-08-07
522,0.4547,2022-08-04
915,0.9625,2022-08-09
668,0.8049,2022-08-22
779,0.8848,2022-08-23
496,0.8705,2022-08-04
671,0.7601,2022-08-15
635,-0.254,2022-08-19
214,0.4473,2022-08-14
445,-0.053,2022-08-21
391,1.442,2022-08-06
493,-0.4023,2022-08-26
403,0.685,2022-08-04
308,1.3269,2022-08-13
965,-0.4068,2022-08-27
507,-0.3168,2022-08-08
876,-0.0759,2022-08-03
491,0.1717,2022-08-21
911,1.3591,2022-08-19
380,-0.0641,2022-08-20
887,-0.2562,2022-08-13
816,-0.3362,2022-08-26
544,1.1129,2022-08-28
598,0.7348,2022-08-13
413,0.8203,2022-08-09
841,0.4907,2022-08-25
198,-0.4176,2022-08-07
962,1.4724,2022-08-10
416,-0.4453,2022-08-25
441,-0.0718,2022-08-18
230,-0.3089,2022-08-09
150,0.3179,2022-08-05
761,-0.2398,2022-08-19
972,-0.4195,2022-08-01
236,1.0156,2022-08-23
178,1.3834,2022-08-08
692,0.6322,2022-08-15
261,0.3737,2022-08-01
662,1.3992,2022-08-29
958,0.8604,2022-08-07
161,0.0028,2022-08-29
186,-0.3804,2022-08-15
127,-0.1402,2022-08-20
978,1.4184,2022-08-07
906,-0.1377,2022-08-28
356,0.6498,2022-08-15
572,1.4193,2022-08-17
704,0.3242,2022-08-27
981,0.4026,2022-08-31
298,-0.2918,2022-08-09
907,-0.0298,2022-08-24
416,0.9532,2022-08-11
664,-0.4249,2022-08-29
569,1.2889,2022-08-11
947,-0.3735,2022-08-14
726,1.0556,2022-08-26
800,0.2094,2022-08-24
198,0.7846,2022-08-20
287,0.7569,2022-08-04
178,0.4548,2022-08-31
278,0.8608,2022-08-24
728,0.685,2022-08-17
963,-0.0204,2022-08-26
917,-0.4428,2022-08-27
565,0.0419,2022-08-18
325,0.5405,2022-08-13
900,-0.1276,2022-08-17
390,1.4982,2022-08-19
364,1.3201,2022-08-18
438,0.2837,2022-08-19
799,1.2663,2022-08-27
388,-0.3506,2022-08-27
296,0.565,2022-08-25
117,0.132,2022-08-14
981,-0.485,2022-08-19
375,0.7275,2022-08-10
408,-0.0288,2022-08-29
928,0.9098,2022-08-24
578,1.4917,2022-08-17
706,0.1349,2022-08-03
976,1.3396,2022-08-31
719,1.3498,2022-08-13
221,0.6224,2022-08-16
845,-0.4336,2022-08-29
394,1.2887,2022-08-23
126,0.594,2022-08-22
669,0.6286,2022-08-25
348,0.0643,2022-08-30
200,-0.3363,2022-08-10
942,1.4596,2022-08-05
953,-0.3025,2022-08-22
169,0.0766,2022-08-21
521,0.4417,2022-08-13
695,1.2287,2022-08-25
465,0.9992,2022-08-06
299,0.9986,2022-08-15
255,-0.2017,2022-08-06
993,0.3431,2022-08-18
987,1.2353,2022-08-16
324,0.9322,2022-08-27
698,-0.0897,2022-08-16
381,0.3212,2022-08-04
751,1.2767,2022-08-06
382,0.4483,2022-08-16
299,0.4923,2022-08-04
188,1.2828,2022-08-31
473,0.4622,2022-08-20
252,0.6451,2022-08-29
607,0.4999,2022-08-27
728,-0.1032,2022-08-19
856,-0.3497,2022-08-21
753,0.8728,2022-08-24
977,-0.0646,2022-08-16
163,0.5874,2022-08-01
937,-0.3539,2022-08-28
813,0.3425,2022-08-03
668,0.0061,2022-08-14
999,-0.2034,2022-08-21
863,0.0428,2022-08-07
800,0.5549,2022-08-26
560,1.4353,2022-08-02
256,1.3721,2022-08-28
351,1.2149,2022-08-22
592,1.4675,2022-08-12
842,1.1326,2022-08-31
217,0.4686,2022-08-18
601,0.8724,2022-08-03
876,0.0859,2022-08-25
983,0.9371,2022-08-26
543,0.0034,2022-08-13
478,0.5353,2022-08-07
262,-0.0789,2022-08-21
165,-0.3575,2022-08-11
492,-0.126,2022-08-25
309,-0.0648,2022-08-25
378,0.7097,2022-08-26
123,1.3124,2022-08-15
412,0.6264,2022-08-11
790,0.7433,2022-08-30
533,0.8593,2022-08-14
868,0.4408,2022-08-09
814,0.693,2022-08-25
154,1.4928,2022-08-08
915,0.8858,2022-08-01
980,0.3302,2022-08-06
600,0.462,2022-08-23
589,0.4249,2022-08-06
419,0.9722,2022-08-22
567,-0.3304,2022-08-13
499,1.238,2022-08-30
510,1.2772,2022-08-19
754,1.0918,2022-08-22
237,-0.1976,2022-08-14
887,-0.012,2022-08-06
529,0.234,2022-08-31
486,0.4427,2022-08-31
359,1.3478,2022-08-23
303,0.3095,2022-09-01
639,1.261,2022-08-28
287,0.3597,2022-08-05
829,0.041,2022-08-20
353,1.2566,2022-08-02
146,0.9196,2022-08-16
590,0.6362,2022-08-24
551,1.2612,2022-08-05
788,0.3369,2022-08-15
308,0.6235,2022-08-13
531,-0.0979,2022-08-01
160,0.3471,2022-08-03
534,1.1243,2022-08-12
716,-0.0459,2022-08-06
385,-0.0746,2022-08-28
941,-0.3017,2022-08-06
313,0.8591,2022-08-03
407,0.1748,2022-08-08
225,0.5659,2022-08-06
866,0.2317,2022-08-16
176,0.83,2022-08-19
386,-0.0411,2022-08-30
852,-0.4693,2022-08-15
167,-0.3295,2022-08-15
673,1.2186,2022-08-21
883,0.5758,2022-08-05
885,0.985,2022-08-19
158,-0.3828,2022-08-06
456,-0.4493,2022-08-26
672,-0.418,2022-08-27
678,1.3952,2022-08-27
931,1.4931,2022-08-19
303,1.3517,2022-08-13
336,0.581,2022-08-25
685,-0.2098,2022-08-02
455,-0.0071,2022-08-23
433,1.4184,2022-08-02
442,0.574,2022-08-30
248,1.1683,2022-08-10
876,0.0671,2022-08-14
391,1.402,2022-08-23
504,-0.3275,2022-08-22
988,-0.3426,2022-08-14
932,1.2893,2022-08-29
393,1.3308,2022-08-10
587,1.393,2022-08-15
567,0.3855,2022-08-01
770,0.5222,2022-08-12
239,1.0375,2022-08-05
467,-0.0384,2022-08-13
531,0.1366,2022-08-18
115,1.0691,2022-08-27
302,-0.1285,2022-08-11
993,0.6526,2022-08-27
367,1.4898,2022-08-22
792,0.5245,2022-08-23
935,1.1154,2022-08-12
998,-0.113,2022-08-19
549,0.72,2022-08-01
906,0.2088,2022-08-20
421,0.9303,2022-08-23
418,-0.4649,2022-08-26
551,0.7517,2022-08-22
999,1.4158,2022-08-31
322,0.7158,2022-08-24
579,-0.2864,2022-08-02
760,0.0353,2022-08-06
546,1.1785,2022-08-08
906,1.0295,2022-08-29
362,0.8623,2022-08-03
925,0.5253,2022-08-06
768,1.1261,2022-08-08
425,-0.246,2022-08-18
780,-0.2285,2022-08-17
795,-0.4579,2022-08-09
466,-0.2693,2022-08-30
496,-0.0823,2022-08-29
101,0.3157,2022-08-11
176,-0.0369,2022-08-04
975,-0.4395,2022-08-24
610,1.3662,2022-08-08
807,1.3192,2022-08-21
107,1.367,2022-08-01
246,0.5797,2022-08-06
557,0.2539,2022-08-07
570,1.4129,2022-08-03
196,-0.2547,2022-08-09
973,-0.0187,2022-08-10
199,0.161,2022-08-23
289,0.4529,2022-08-02
878,0.1327,2022-08-23
788,0.2258,2022-08-28
296,0.1508,2022-08-16
270,0.7192,2022-08-22
195,0.1217,2022-08-28
427,0.3792,2022-08-31
738,-0.094,2022-08-16
334,0.0501,2022-08-13
660,-0.2461,2022-08-27
393,0.5424,2022-08-09
557,1.1092,2022-08-22
450,-0.3588,2022-08-24
281,-0.32,2022-08-07
950,-0.3911,2022-08-24
955,0.9712,2022-08-13
778,-0.2175,2022-08-11
755,-0.3557,2022-08-15
735,0.1529,2022-08-04
498,0.0539,2022-08-10
124,0.2605,2022-08-13
531,-0.1325,2022-08-31
205,-0.3559,2022-08-19
862,0.3095,2022-08-08
266,0.4117,2022-08-26
926,0.9244,2022-08-14
323,-0.462,2022-08-04
839,1.1898,2022-08-22
402,0.0859,2022-08-15
185,1.0779,2022-08-10
983,0.8844,2022-08-03
812,0.2146,2022-08-22
466,0.0674,2022-08-08
946,0.1746,2022-08-13
571,0.7322,2022-08-10
704,-0.2649,2022-08-10
632,1.0649,2022-08-29
666,0.3983,2022-08-09
893,1.0684,2022-08-25
812,-0.4521,2022-08-25
922,-0.279,2022-08-02
496,1.2598,2022-08-17
950,0.5354,2022-08-16
703,-0.3709,2022-08-04
889,-0.4371,2022-08-07
877,-0.1048,2022-08-23
258,0.9569,2022-08-21
471,-0.4357,2022-08-13
383,1.0324,2022-08-20
101,1.224,2022-08-26
752,-0.2773,2022-08-26
333,-0.4475,2022-08-06
938,0.1872,2022-08-20
301,1.1039,2022-08-11
674,-0.1016,2022-08-12
640,1.2045,2022-08-03
612,0.1541,2022-08-01
304,0.0943,2022-08-06
146,1.2172,2022-08-20
716,0.2289,2022-08-28
616,0.7941,2022-08-30
528,0.8379,2022-08-05
220,1.0157,2022-08-05
977,-0.1233,2022-08-28
710,1.253,2022-08-19
320,-0.2672,2022-08-07
561,-0.1707,2022-08-13
962,0.1276,2022-08-09
598,-0.4695,2022-08-06
315,-0.3136,2022-08-18
123,-0.1544,2022-08-08
657,0.5687,2022-08-12
623,0.981,2022-08-09
771,0.4958,2022-08-30
341,0.5959,2022-08-09
373,0.2311,2022-08-15
171,1.296,2022-08-09
118,1.0796,2022-08-06
539,0.5321,2022-08-23
599,0.7993,2022-08-12
356,0.0802,2022-08-30
644,0.8743,2022-08-26
507,1.4736,2022-08-13
779,1.0748,2022-08-28
446,0.8726,2022-08-02
517,1.0919,2022-08-25
814,0.0388,2022-08-23
586,1.4811,2022-08-21
708,0.4982,2022-08-27
740,0.0228,2022-08-23
334,0.4451,2022-08-21
592,0.1091,2022-08-05
793,-0.2672,2022-08-25
904,0.4997,2022-08-24
281,0.7502,2022-08-14
494,0.691,2022-08-25
977,0.9775,2022-08-26
930,1.414,2022-08-30
942,1.3096,2022-08-06
544,0.0208,2022-08-15
586,0.6888,2022-08-02
634,-0.1663,2022-08-16
328,0.796,2022-08-29
253,0.6553,2022-08-26
118,0.8403,2022-08-10
198,-0.2763,2022-08-07
678,-0.2192,2022-08-21
900,-0.1177,2022-08-19
298,0.4308,2022-08-23
664,0.1582,2022-08-20
235,1.1198,2022-08-11
652,0.7839,2022-08-19
212,-0.2741,2022-08-24
412,0.4507,2022-08-03
627,-0.0178,2022-08-09
561,-0.4078,2022-08-08
255,0.6979,2022-08-26
443,0.5598,2022-08-06
138,-0.2757,2022-08-23
746,0.6667,2022-08-07
472,0.7047,2022-08-29
253,0.9546,2022-08-08
206,-0.4453,2022-08-07
803,-0.4051,2022-08-25
666,0.3147,2022-08-15
303,1.3152,2022-08-28
321,0.5153,2022-08-07
568,0.2203,2022-08-21
640,-0.2032,2022-08-16
377,0.6563,2022-08-18
911,-0.289,2022-08-20
576,1.0832,2022-08-12
249,0.8175,2022-08-07
764,0.2213,2022-08-05
933,0.6096,2022-08-28
223,1.2592,2022-08-10
423,0.6711,2022-08-01
351,1.1692,2022-08-22
747,1.2135,2022-08-08
639,1.3151,2022-08-07
325,0.2604,2022-08-26
149,0.8328,2022-08-03
326,0.5319,2022-08-04
438,1.2158,2022-08-12
369,-0.0827,2022-08-15
614,0.5523,2022-08-11
806,0.5884,2022-08-13
483,1.2121,2022-08-01
645,-0.4059,2022-08-03
757,0.5688,2022-08-03
726,0.9729,2022-08-07
551,-0.0608,2022-08-25
585,-0.4517,2022-08-09
947,0.9726,2022-08-29
158,-0.4357,2022-08-20
310,1.0664,2022-08-14
940,-0.1821,2022-08-15
579,0.7257,2022-08-21
421,1.4047,2022-08-25
217,0.1321,2022-08-18
256,0.4412,2022-08-22
445,0.2506,2022-08-16
345,-0.4064,2022-08-24
695,-0.4012,2022-08-03
832,0.0475,2022-08-21
855,0.1714,2022-08-03
252,0.0503,2022-08-08
335,0.7733,2022-08-12
634,0.1677,2022-08-12
239,-0.2689,2022-08-21
339,0.8705,2022-08-02
465,0.4443,2022-08-04
221,1.4695,2022-08-25
428,0.7798,2022-08-29
533,1.2324,2022-08-07
253,0.9865,2022-08-01
730,0.0316,2022-08-10
744,-0.0694,2022-08-21
351,1.0031,2022-08-06
978,0.4369,2022-08-18
759,1.1383,2022-08-14
722,0.412,2022-08-21
641,0.0199,2022-08-06
853,0.3428,2022-08-21
692,0.6811,2022-08-05
530,0.18,2022-08-31
631,0.2768,2022-08-17
344,-0.089,2022-08-12
487,0.2062,2022-08-05
386,0.7105,2022-08-15
957,0.1777,2022-08-06
914,0.3329,2022-08-03
609,1.2773,2022-08-23
500,0.5683,2022-08-29
516,0.5703,2022-08-07
439,-0.4679,2022-08-01
773,-0.4973,2022-08-30
135,1.1288,2022-08-15
263,-0.0987,2022-08-07
247,0.2734,2022-08-30
466,0.6001,2022-08-20
397,-0.4025,2022-08-09
165,0.541,2022-08-30
711,0.7372,2022-08-27
258,0.5618,2022-08-18
989,0.0839,2022-08-19
416,0.7589,2022-08-31
798,0.7621,2022-08-13
791,-0.1799,2022-08-29
496,0.349,2022-08-31
293,-0.0713,2022-08-03
352,-0.2834,2022-08-04
456,-0.1028,2022-08-09
541,0.9392,2022-08-11
541,1.0944,2022-08-21
457,-0.1668,2022-08-27
882,0.9351,2022-08-26
932,1.4835,2022-08-20
213,1.4743,2022-08-12
529,0.3223,2022-08-07
963,1.2113,2022-08-28
696,-0.4465,2022-08-27
440,0.3046,2022-08-19
201,0.8294,2022-08-03
503,-0.3681,2022-08-22
900,0.6935,2022-08-31
365,1.2848,2022-08-04
109,-0.1314,2022-08-13
464,1.2613,2022-08-11
594,0.8827,2022-08-21
630,-0.1134,2022-08-09
993,0.6701,2022-08-18
457,1.1793,2022-08-31
573,0.3893,2022-08-13
484,1.0729,2022-08-14
978,0.9141,2022-08-10
494,0.0392,2022-08-27
518,1.0807,2022-08-18
175,0.4089,2022-08-16
573,-0.2991,2022-08-06
444,0.7553,2022-08-26
106,0.9347,2022-08-15
227,1.348,2022-08-30
907,0.8447,2022-08-25
356,0.056,2022-08-20
495,-0.408,2022-08-12
595,0.0222,2022-08-24
452,-0.4998,2022-08-06
396,1.4701,2022-08-10
441,1.0311,2022-08-28
887,0.5551,2022-08-03
751,0.687,2022-08-16
677,-0.2962,2022-08-21
817,-0.0169,2022-08-05
566,0.5905,2022-08-04
613,0.4251,2022-08-22
762,0.1169,2022-08-19
955,1.0136,2022-08-02
785,0.2105,2022-08-24
538,0.7023,2022-08-19
195,0.3435,2022-08-12
662,0.9841,2022-08-13
245,0.8968,2022-08-30
296,0.8563,2022-08-03
527,0.8481,2022-08-18
817,0.8602,2022-08-15
638,0.9965,2022-08-04
481,-0.0571,2022-08-22
713,-0.3126,2022-08-17
773,0.9974,2022-08-09
651,1.192,2022-08-10
249,-0.4431,2022-08-21
589,0.1366,2022-08-04
584,-0.4992,2022-08-31
909,0.8789,2022-08-21
501,1.4092,2022-08-25
288,1.0389,2022-08-29
381,0.6105,2022-08-14
771,-0.1877,2022-08-24
636,1.4424,2022-08-04
175,1.3937,2022-08-25
419,0.0105,2022-08-22
933,0.6555,2022-08-12
578,0.6356,2022-08-13
679,0.0483,2022-08-27
952,-0.153,2022-08-22
351,1.3391,2022-08-24
434,-0.1772,2022-08-28
302,0.6655,2022-08-17
749,-0.3991,2022-08-11
326,-0.4849,2022-08-09
614,1.4001,2022-08-19
859,1.1262,2022-08-01
544,1.1122,2022-08-15
287,0.5069,2022-08-15
608,0.1018,2022-08-30
800,-0.3519,2022-08-11
193,-0.1438,2022-08-02
416,-0.2113,2022-08-08
979,0.6403,2022-08-29
553,-0.346,2022-08-09
642,0.0624,2022-08-26
336,0.6325,2022-08-07
932,0.4936,2022-08-09
394,1.4483,2022-08-11
888,0.686,2022-08-22
734,1.2036,2022-08-25
767,1.101,2022-08-20
355,0.4617,2022-08-05
309,1.2877,2022-08-26
462,0.6901,2022-08-31
694,0.4572,2022-08-30
916,0.3578,2022-08-20
606,0.4806,2022-08-26
841,-0.0118,2022-08-14
201,-0.4223,2022-08-09
776,0.505,2022-08-07
385,0.7394,2022-08-29
155,0.499,2022-08-11
395,0.4416,2022-08-14
706,1.3318,2022-08-22
406,-0.3196,2022-08-25
442,0.1868,2022-08-12
351,0.4198,2022-08-19
375,1.4314,2022-08-21
351,0.9804,2022-08-01
471,-0.1389,2022-08-03
759,0.3476,2022-08-26
764,-0.3231,2022-08-22
158,-0.3698,2022-08-31
922,-0.2856,2022-08-23
665,0.8691,2022-08-25
754,0.4004,2022-08-07
129,0.2588,2022-08-03
404,0.1192,2022-08-13
197,0.5199,2022-08-23
392,0.0465,2022-08-28
211,0.5072,2022-08-15
932,0.0635,2022-08-20
959,0.6836,2022-08-07
511,0.5106,2022-08-01
819,-0.4323,2022-08-12
344,-0.2586,2022-08-19
447,1.2162,2022-08-06
810,0.0386,2022-08-03
801,0.9716,2022-08-25
579,1.3555,2022-08-09
739,-0.4502,2022-08-11
896,0.108,2022-08-15
524,0.2867,2022-08-30
113,1.3057,2022-08-13
612,0.4102,2022-08-19
354,1.35,2022-08-24
939,0.3224,2022-08-12
538,0.3533,2022-08-04
895,0.691,2022-08-16
689,1.2293,2022-08-04
129,-0.4466,2022-08-14
632,0.2464,2022-08-26
974,-0.2876,2022-08-19
995,-0.3201,2022-08-22
765,0.6992,2022-08-17
432,1.0032,2022-08-09
840,0.0891,2022-08-30
248,-0.4356,2022-08-23
847,-0.142,2022-08-18
432,1.3716,2022-08-14
966,0.6164,2022-08-21
898,0.2733,2022-08-16
608,0.0151,2022-08-05
